"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.controller.spec.ts", "TypeScript", -14, 0, -5, -19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.controller.ts", "TypeScript", -3, 0, -2, -5
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.module.ts", "TypeScript", -8, 0, -2, -10
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.service.spec.ts", "TypeScript", -14, 0, -5, -19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.service.ts", "TypeScript", -3, 0, -2, -5
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\app.module.ts", "TypeScript", 49, 0, 0, 49
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth.controller.ts", "TypeScript", 50, 0, 4, 54
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth.module.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth.service.ts", "TypeScript", 9, 0, 0, 9
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_google.controller.ts", "TypeScript", 10, 0, 2, 12
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_google.service.ts", "TypeScript", 6, 0, 3, 9
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_telegram.controller.ts", "TypeScript", 19, 0, 5, 24
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_telegram.service.ts", "TypeScript", 7, 0, 0, 7
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_yandex.controller.ts", "TypeScript", 10, 0, 3, 13
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_yandex.service.ts", "TypeScript", 60, 0, 4, 64
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\dto\telegramAuth.dto.ts", "TypeScript", 15, 0, -3, 12
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\dto\yandexAuth.dto.ts", "TypeScript", 7, 0, -6, 1
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\email\email.module.ts", "TypeScript", 21, 0, 2, 23
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\email\email.processor.ts", "TypeScript", 100, 0, 8, 108
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\email\email.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\email\email.service.ts", "TypeScript", 27, 0, 5, 32
